,city,job_title,company_name,location,summary,salary
364,San+Francisco+CA,Data Scientist,Kinsa Inc.,"San Francisco, CA","We use data analytics and machine learning to forecast where and when illness will break out. Kinsa was founded by Inder Singh, a software engineer turned...",
365,San+Francisco+CA,Data Scientist,"Grammarly, Inc.","San Francisco, CA",This includes having a team of data scientists and the processes and tools in place to ensure they are able to do their jobs well....,
366,San+Francisco+CA,Data Scientist,BlueVine,"Redwood City, CA","Your work will include applying machine learning methods for data mining, performing statistical analyses and building prediction models critical to maintaining...",
367,San+Francisco+CA,Product Scientist: Data Science,Indeed,"San Francisco, CA","While machine learning is one tool in our toolbox, Product Scientists use a variety of skills with the goal of driving business impact using whatever tools...",
368,San+Francisco+CA,Data Scientist,eBay Inc.,"San Francisco, CA",Work also involves building production facing user components which heavily rely on data mining and machine learning....,
369,San+Francisco+CA,Data Scientist,eBay Inc.,"San Francisco, CA",Work also involves building production facing user components which heavily rely on data mining and machine learning....,
370,San+Francisco+CA,Product Scientist: Data Science,Indeed,"San Francisco, CA","While machine learning is one tool in our toolbox, Product Scientists use a variety of skills with the goal of driving business impact using whatever tools...",
371,San+Francisco+CA,Data Scientist,SmartPay Leasing,"San Francisco, CA","At a high level we leverage data to manage underwriting risk, prevent fraud, and provide actionable insights across the organization....",
372,San+Francisco+CA,Data Scientist,Trulia,"San Francisco, CA",Experience working with unstructured data like images and text and applying novel machine learning techniques to convert insights into products....,
373,San+Francisco+CA,Data Scientist,Eaze,"San Francisco, CA","As a Data Scientist at Eaze, you'll report to the Director of Analytics and work as the primary stakeholder and lead in the department's proactive data research...",
374,San+Francisco+CA,Data Scientist,King.com,"San Francisco, CA","We are looking for a talented and creative Data Scientist interested in building, defining and pushing the boundaries of games analytics within our San...",
375,San+Francisco+CA,Data Scientist,ThirdLove,"San Francisco, CA",Use established and cutting edge Machine Learning and Advanced Statistical Models to build data science products that power personalized and differentiated...,
376,San+Francisco+CA,Data Scientist,Castle Global,"San Francisco, CA","This team will bridge the gap between the ""tagged"" data that our machine learning team builds and the product team in delivering business insights....",
377,San+Francisco+CA,Data Scientist,HotelTonight,"San Francisco, CA","As one of the first Data Scientists on the Data & Strategy team, you will drive business decisions across the company using data and be responsible for...",
378,San+Francisco+CA,"Data Scientist, Natural Language Processing - San Francisco",IBM,"San Francisco, CA 94102 (Downtown area)","At least 2 years experience with Natural Language Processing e.g. part-of-speech tagging, topic modelling, machine translation At least 3 years of experience...",
379,San+Francisco+CA,"Sales Finance, Data Scientist",Twitter,"San Francisco, CA 94103 (South Of Market area)","You should be passionate about challenging prediction problems, finding insights in data, and applying your conclusions to drive clear and practical business...",
380,San+Francisco+CA,Data Scientist,Intelletec's Client,"San Francisco, CA","Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high-quality prediction systems integrated with our...",
381,San+Francisco+CA,Junior Data Analyst,Realogy Corporate,"Emeryville, CA","You’re excited about working closely with ZapLabs’ data scientists, product managers, engineers, and senior leadership to provide insights and analyses that...",
382,San+Francisco+CA,Data Scientist / Predictive Modeler,M Theory Solutions,"Palo Alto, CA 94304",Ready to demonstrate your marketing analytics and data sciences prowess? You should be well-versed in machine learning algorithms – which is best for achieving...,
383,San+Francisco+CA,Data Scientist,Indeed,"San Francisco, CA","As a Data Scientist at Indeed your role is to follow the data. We are looking for a mixture between a statistician, scientist, machine learning expert and...",
384,San+Francisco+CA,Data Scientist / Predictive Modeler,M Theory Solutions,"Palo Alto, CA 94304",Ready to demonstrate your marketing analytics and data sciences prowess? You should be well-versed in machine learning algorithms – which is best for achieving...,
